,date,state,fips,cases,deaths
240,2020-03-01,Arizona,4,1,0
241,2020-03-01,California,6,33,0
242,2020-03-01,Florida,12,2,0
243,2020-03-01,Illinois,17,3,0
244,2020-03-01,Massachusetts,25,1,0
245,2020-03-01,Nebraska,31,13,0
246,2020-03-01,New York,36,1,0
247,2020-03-01,Oregon,41,2,0
248,2020-03-01,Rhode Island,44,2,0
249,2020-03-01,Texas,48,11,0
250,2020-03-01,Utah,49,1,0
251,2020-03-01,Washington,53,17,3
252,2020-03-01,Wisconsin,55,1,0
253,2020-03-02,Arizona,4,1,0
254,2020-03-02,California,6,38,0
255,2020-03-02,Florida,12,2,0
256,2020-03-02,Georgia,13,2,0
257,2020-03-02,Illinois,17,4,0
258,2020-03-02,Massachusetts,25,2,0
259,2020-03-02,Nebraska,31,13,0
260,2020-03-02,New Hampshire,33,1,0
261,2020-03-02,New York,36,1,0
262,2020-03-02,Oregon,41,2,0
263,2020-03-02,Rhode Island,44,2,0
264,2020-03-02,Texas,48,11,0
265,2020-03-02,Utah,49,1,0
266,2020-03-02,Washington,53,23,6
267,2020-03-02,Wisconsin,55,1,0
268,2020-03-03,Arizona,4,2,0
269,2020-03-03,California,6,45,0
270,2020-03-03,Florida,12,3,0
271,2020-03-03,Georgia,13,2,0
272,2020-03-03,Illinois,17,4,0
273,2020-03-03,Massachusetts,25,2,0
274,2020-03-03,Nebraska,31,13,0
275,2020-03-03,New Hampshire,33,2,0
276,2020-03-03,New York,36,2,0
277,2020-03-03,North Carolina,37,1,0
278,2020-03-03,Oregon,41,2,0
279,2020-03-03,Rhode Island,44,2,0
280,2020-03-03,Texas,48,11,0
281,2020-03-03,Utah,49,1,0
282,2020-03-03,Washington,53,32,10
283,2020-03-03,Wisconsin,55,1,0
284,2020-03-04,Arizona,4,2,0
285,2020-03-04,California,6,55,1
286,2020-03-04,Florida,12,3,0
287,2020-03-04,Georgia,13,2,0
288,2020-03-04,Illinois,17,4,0
289,2020-03-04,Massachusetts,25,2,0
290,2020-03-04,Nebraska,31,13,0
291,2020-03-04,New Hampshire,33,2,0
292,2020-03-04,New Jersey,34,1,0
293,2020-03-04,New York,36,11,0
294,2020-03-04,North Carolina,37,1,0
295,2020-03-04,Oregon,41,2,0
296,2020-03-04,Rhode Island,44,2,0
297,2020-03-04,Texas,48,12,0
298,2020-03-04,Utah,49,1,0
299,2020-03-04,Washington,53,47,11
300,2020-03-04,Wisconsin,55,1,0
301,2020-03-05,Arizona,4,2,0
302,2020-03-05,California,6,67,1
303,2020-03-05,Colorado,8,2,0
304,2020-03-05,Florida,12,4,0
305,2020-03-05,Georgia,13,2,0
306,2020-03-05,Illinois,17,5,0
307,2020-03-05,Maryland,24,3,0
308,2020-03-05,Massachusetts,25,3,0
309,2020-03-05,Nebraska,31,13,0
310,2020-03-05,Nevada,32,2,0
311,2020-03-05,New Hampshire,33,2,0
312,2020-03-05,New Jersey,34,2,0
313,2020-03-05,New York,36,22,0
314,2020-03-05,North Carolina,37,1,0
315,2020-03-05,Oregon,41,2,0
316,2020-03-05,Rhode Island,44,2,0
317,2020-03-05,Tennessee,47,1,0
318,2020-03-05,Texas,48,16,0
319,2020-03-05,Utah,49,1,0
320,2020-03-05,Washington,53,75,11
321,2020-03-05,Wisconsin,55,1,0
322,2020-03-06,Arizona,4,3,0
323,2020-03-06,California,6,81,1
